37,上海金杉数金互联网科技有限公司,Python开发经理,"五险一金,员工旅游,餐饮补贴,年终奖金,定期体检,做五休二,节日津贴","上海-浦东新区,3-4年经验,本科,招2人,03-17发布","岗位职责：  1.系统需求分析与设计，核心模块的开发工作；  2.根据开发进度和任务分配，完成相应模块的开发、编程、测试任务，解决关键问题和寻找技术方案  职位要求: 1.本科以上学历，三年以上编程经验;  2.精通python语言, 有扎实的编码能力，深入理解任一python框架；  3.熟练使用至少一种数据库（MySQL/PostgreSQL/Redis/MongoDB)  4.熟悉python扩展模块；  5.有独立分析和解决问题的能力，有良好的团队合作精神",杨高南路759号
38,上海牵翼网络科技有限公司,Python开发工程师,"做五休二,五险一金,绩效奖金,节日福利,带薪年假,定期体检","上海-徐汇区,1年经验,本科,招若干人,03-17发布",1、利用Python收集、整合科技服务业相关数据，对数据进行清洗、审核和处理，验证数据有效性，确保数据的准确性和及时交付；2、与其他团队密切合作，并基于有效的数据分析提供数据支持；3、完成国外网站的信息采集，数据统计和分析等工作。4、协助完成项目其他任务。 岗位要求：1、全日制本科及以上学历；英语佳2、具备较强的学习能力，分析能力，总结能力和分析报告撰写能力；3、熟练使用python，excel进行各类统计，有数据统计分析工作经验；4、具有良好的沟通能力，较强的语言表达能力，擅长与人打交道；,宜山路801号A
39,诺贝尔曼（上海）商业投资管理有限公司,python开发工程师/大数据建模,"五险一金,员工旅游,专业培训,绩效奖金,年终奖金,定期体检,弹性工作","上海-黄浦区,硕士,招2人,03-16发布,计算机科学与技术 软件工程","岗位要求：1、计算机相关专业硕士及以上学历；2、熟练使用Python，有数据分析或Django框架开发经验，熟悉高德或者百度地图开发技术优先；3、熟悉至少一种关系型数据库（Mysql等），熟悉JS,HTML,CSS,jquery等技术优先。4、能独立解决新问题，进行平台后端代码搭建和编写5、具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题/解决问题。6、对商业市场具有一定了解或敏感的商业嗅觉",南昌路125号2号楼105室
40,乐鑫信息科技（上海）股份有限公司,Python 开发工程师,,"上海,硕士,招2人,03-16发布",工作职责： ?1、根据公司现有生产数据，搭建数据分析架构； ?2、编写自动化测试脚本，分析生产测试数据； ?3、实现数据及时处理、监控与可追溯； ?4、提供数据分析支持，配合相关部门改进生产。 ?职位要求： ?1、计算机、电子工程、通信工程等相关专业，硕士及以上学历； ?2、熟悉 C / Python 语言，编程基础扎实； ?3、熟悉硬件电路； ?4、有良好的沟通能力与团队合作精神。,
41,大连洪大信息技术有限公司,Python开发工程师,,"上海-浦东新区,3-4年经验,本科,招3人,03-16发布","1）熟练掌握python开发，3年以上开发经验?2）熟练框架tomado?3）熟悉数据库。如mysql,? redis,? mongodb4）对网络技术有一定了解5）具备良好的逻辑思维能力和代码编写习惯?6）具备良好的学习能力和沟通能力",金桥云桥路916号
42,观相科技（上海）有限公司,资深python开发工程师,"周末双休,五险一金,专业培训,带薪年假,员工旅游","上海-闵行区,5-7年经验,本科,招3人,03-16发布",职位要求：1. 精通Python 语言，精通使用Python 常用模块；2. 熟悉Python 多线程编程；3. 熟悉主流关系型与非关系型数据库，例如：MySQL、Redis、Mongodb；4. 具备良好的编码习惯，熟悉svn、git 等代码管理工具；5. 具备良好的分析问题，解决问题能力，具有代码洁癖6. 有责任心，有良好的学习能力，具备优秀的沟通能力和团队精神。优先项：1. 熟悉java、ELK、Kafka、numpy、pandas 等大数据相关的技术或框架2. 能独立阅读英文文献。,吴中路1799号万象城D栋701-702
43,上海领旗信息科技有限公司,Python后端,"五险一金,员工旅游,交通补贴,餐饮补贴,年终奖金,做五休二","上海-浦东新区,1年经验,大专,招2人,03-16发布",岗位职责：1、Python 开发工作。2、对代码进行持续性能优化和局部重构。3、解决原有的问题。任职要求：1、2年以上的Python开发经验，能够独立开发 Python 应用程序，曾经独立开发过比较复杂的Python 程序，2、熟悉DB2、oracle、postgresql 等数据库中的几种。3、熟悉流行的开发框架。4、对互联网新技术敏感，愿意学习及应用新技术，对交互体验有了解。,金港路333号828室
44,传音控股上海研发中心,Python高级开发工程师,"五险一金,交通补贴,餐饮补贴,通讯补贴,免费班车,专业培训,员工旅游,出国机会,定期体检,年终奖金","上海-浦东新区,3-4年经验,本科,招1人,03-15发布",岗位职责：?任职要求：,上海市浦东新区学林路36弄1号楼
45,上海轩田工业设备有限公司,Python后端开发工程师,"五险一金,年终奖金,绩效奖金","西安-高新技术产业开发区,3-4年经验,本科,招若干人,03-13发布",,锦业路1号
46,万达信息股份有限公司,Python全栈开发工程师,"五险一金,补充公积金,绩效奖金,年终奖金","上海,2年经验,本科,招若干人,03-13发布",岗位描述1.程序后端或前端的开发工作；2.程序后端或前端的设计工作；3.编制程序相关文档.任职要求                                ? ?6.有爬虫经验者优先；,上海市
47,上海鼎骏软件科技有限公司,Python Developer - Python 开发,,"上海-静安区,2年经验,大专,招1人,03-12发布",Position Requirements2. Experience / Qualifications4. Reporting,万航渡路888号18楼K室
48,上海圣岚广告有限公司,python研发工程师,"五险一金,交通补贴,餐饮补贴,年终奖金,弹性工作","上海-静安区,2年经验,本科,招若干人,03-12发布",1、python脚本语言熟练掌握（基础语法）2、负责人工智能相关项目研发工作3、开发网络爬虫工具，进行文本、图像等数据抓取分析工作4、公司安排的其他项目开发工作岗位要求：1. 熟悉 Linux 开发环境，熟练使用 Shell2. 熟悉 高并发、高性能分布式系统3. 从事 Python 开发 2年及以上4.?熟练使用 Python 进行抓取及格式化信息提取5.?了解机器学习Tensorflow，有人工智能开发项目经验优先,武宁南路1号越商大厦20楼
49,京北方信息技术股份有限公司,Python开发工程师 (MJ000145),,"上海-浦东新区,在校生/应届生,本科,招3人,03-12发布",1、负责公司各业务部门算法模板的开发工作 ；2、包括但不限于指数计算模板、统计模板等。3、学历： 统计学、应用数学、计算机等相关专业，本科及以上学历???4、2年及以上相关工作经验5、技术能力：熟练Python，掌握numpy、pandas、sklearn等第三方库；具有基于Python的C/S的界面开发能力；具有基于Python的C/S的界面开发能力；6、具有数据抓取经验、熟悉固定收益相关估值方法者优先；具有较强的数据敏感度，逻辑分析能力和文档写作能力；新一代价格产品系统的需求细化工作,上海市浦东新区浦东南路1088号中融大厦1111室
50,TutorABC英语,Scratch/Python课程设计,"五险一金,员工旅游,专业培训,绩效奖金","上海-虹口区,2年经验,本科,招若干人,03-12发布",Scratch/Python课程设计岗位职责：1. 精通Scratch or Python2. 拥有1年Scratch or Python教学经验3. 对现有教案和课件进行完善和优化4. 开发新课件和教案5. 负责体验课，正式课的授课6. 提供辅助教学老师授课的资料任职要求：1. 本科及以上学历；计算机、学前教育或师范类学校（有教师资格证优先）2. 热爱教育行业，愿意推广编程教育3.逻辑清晰，具有较强的动手能力、学习能力和沟通能力4.至少有半年以上少儿编程教育工作经验（此为必须条件）,天水路172号海伦中心金融街海伦中心B座
51,上海意静信息科技有限公司,后端python开发工程师 (职位编号：1),"五险一金,年终奖金,员工旅游,专业培训,弹性工作","上海,2年经验,本科,招2人,03-11发布,英语精通,计算机科学与技术 电子信息工程",,浦东新区康桥东路298号创智良仓1幢2048室（地铁罗山路）
